key,en,et
L3_FAIL,You did not stop correctly at the STOP sign. Returning to start.,Sa ei peatunud STOP-märgi juures korrektselt. Sind pannakse tagasi algusesse.
L3_STOP_OK,Stopped for %.1f s. Good! Continue driving.,Peatusid %.1f s. Tubli! Jätka sõitu.
L3_STOP_BAD,Stopped only for %.1f s. You must stop for at least %.1f s.,Peatusid ainult %.1f s. Pead peatuma vähemalt %.1f s.
L3_SUCCESS,Lesson complete! Return to menu.,Õppetund lõpetatud! Mine menüüsse.

L4_TITLE,L4: Overtaking prohibited,Ü4: Möödasõit keelatud
L4_RULE,Overtaking is prohibited on this road section.,Selles lõigus on möödasõit keelatud.
L4_TASK,Stay in your lane and do not overtake.,Sõida oma reas ja ära soorita möödasõitu.
L4_FAIL,You overtook another vehicle. Returning to start.,Tegid keelatud möödasõidu. Sind pannakse tagasi algusesse.
L4_SUCCESS,Lesson complete! Return to menu.,Õppetund lõpetatud! Mine menüüsse.

L5_TITLE,L5: U-turn prohibited,Ü5: U-pööre keelatud
L5_RULE,U-turns are prohibited at this location.,Selles kohas on U-pööre keelatud.
L5_TASK,Do not make a U-turn. Continue in an allowed direction.,Ära tee U-pööret. Jätka lubatud suunas.
L5_FAIL,You made a prohibited U-turn. Returning to start.,Tegid keelatud U-pöörde. Sind pannakse tagasi algusesse.
L5_SUCCESS,Lesson complete! Return to menu.,Õppetund lõpetatud! Mine menüüsse.

L6_TITLE,L6: Odd-day parking,Ü6: Paaritu päeva parkimine
L6_RULE,Parking is allowed only on odd days.,Parkimine on lubatud ainult paaritutel päevadel.
L6_TASK,Park only if the current day is odd.,Pargi ainult siis, kui kuupäev on paaritu.
L6_FAIL,You violated the parking rule. Returning to start.,Rikkusid parkimisreeglit. Sind pannakse tagasi algusesse.
L6_SUCCESS,Lesson complete! Return to menu.,Õppetund lõpetatud! Mine menüüsse.

L7_TITLE,L7: Give way at roundabout,Ü7: Anna teed ringristmikul
L7_RULE,You must give way to vehicles already on the roundabout.,Ringristmikul pead andma teed seal liikuvatele sõidukitele.
L7_TASK,Wait until vehicles pass, then enter and take the first exit.,Oota kuni sõidukid mööduvad, seejärel sisene ja välju esimesest väljasõidust.
L7_FAIL,You failed to give way. Returning to start.,Ei andnud teed. Sind pannakse tagasi algusesse.
L7_SUCCESS,Lesson complete! Return to menu.,Õppetund lõpetatud! Mine menüüsse.

L8_TITLE,L8: Left turn prohibited,Ü8: Vasakpööre keelatud
L8_RULE,Left turns are prohibited at this intersection.,Selles ristmikus on vasakpööre keelatud.
L8_TASK,Do not turn left. Continue straight or choose an allowed direction.,Ära pööra vasakule. Sõida otse või vali lubatud suund.
L8_FAIL,You made a prohibited left turn. Returning to start.,Tegid keelatud vasakpöörde. Sind pannakse tagasi algusesse.
L8_SUCCESS,Lesson complete! Return to menu.,Õppetund lõpetatud! Mine menüüsse.

L9_TITLE,L9: Traffic light,Ü9: Foorituli
L9_RULE,You must obey the traffic light.,Pea kinni fooritule nõuetest.
L9_TASK,Wait for green light, then drive straight.,Oota rohelist tuld ja sõida otse.
L9_FAIL,You crossed the intersection on a red light.,Ületasid ristmiku punase tulega.
L9_SUCCESS,Lesson complete! Return to menu.,Õppetund lõpetatud! Mine menüüsse.

LESSON_FAIL_ZONE,You entered a prohibited zone. Try again.,Sõitsid keelatud või valesse tsooni. Proovi uuesti.
LESSON_FAIL_COLLISION,You collided with another vehicle. Try again.,Sa põrkasid kokku teise sõidukiga. Proovi uuesti.

PAUSE_TITLE,Paused,Pausil
PAUSE_RESUME,Resume,Jätka
PAUSE_MAIN_MENU,Main menu,Peamenüü
PAUSE_QUIT,Quit,Välju
